movieId,title,generes,type,production
1,1670,satire | comedy | history,series,pl
2,Jak sprzedawać dragi w sieci (szybko),comedy | crime | drama | romance,series,de
3,Samce Alfa,comedy,series,sp
4,Lucyfer,fantasy | crime,series,us
5,Niebieskooki Samuraj,drama | history | animation,series,us
6,Barbarzyńcy,action | adventure | drama,series,de
7,Para idealna,drama | crime,series,us
8,Rojst,drama | crime,series,pl
9,Polowanie na Czerwony Październik,action | thriller,movie,us
10,Siedem,crime | thriller,movie,us
11,Teoria wielkiego podrywu,comedy,series,us
12,Braveheart,drama | history,movie,us
13,The Expanse,drama | sci-fi,series,us
14,Miasteczko South Park,dark comedy | adult animation,series,us
15,Kraina Lodu,animation | family | musical | adventure,movie,us
16,Dziennik Bridget Jones,comedy | romance,movie,uk
17,Kapitan Ameryka: Wojna bohaterów,action | sci-fi,movie,us
18,Avengers: Czas Ultrona,action | sci-fi,movie,us
19,Terminator 2,action | sci-fi | artificial inteligence,movie,us
20,Planeta Singli,comedy | romance,movie,pl
21,List do M.,comedy | romance,movie,pl
22,List do M. 2,comedy | romance,movie,pl
23,Forrest Gump,drama | comedy,movie,us
24,Ex Machina,thriller | sci-fi | artificial inteligence,movie,uk
25,Gran Torino,drama,movie,us
26,Cicha Noc,drama | comedy,movie,pl
27,Battleship: Bitwa o Ziemię,sci-fi,movie,us
28,Narodziny Gwiazdy,drama | musical,movie,us
29,Kapitan Phillips,biography | drama,movie,us
30,Grand Budapest Hotel,drama | comedy,movie,us
31,Wyjazd integracyjny,comedy,movie,pl
32,John Wick,action | thriller,movie,us
33,Narcos,biography | drama | crime,series,us
34,Terminal,comedy | romance,movie,us
35,Ona,sci-fi | drama | artificial inteligence,movie,us
36,Whiplash,drama | musical,movie,us
37,Diabeł ubiera się u Prady,drama | comedy,movie,us
38,Dom z papieru,action | thriller,series,sp
39,Peaky Blinders,drama | history | crime,series,uk
40,Contratiempo. Niewidzialny gość,crime,movie,sp
41,La Cara Oculta,thriller,movie,sp
42,Harry Potter i Insygnia Smierci cz. 2,family | fantasy | adventure,movie,us
43,Avengers: Endgame,action | adventure | sci-fi,movie,us
44,Więzień Labiryntu,action | mystery | sci-fi | thriller,movie,us
45,911: Texas,action | drama | thriller,series,us
46,911,action | drama | thriller,series,us
47,Genialna Morgan,comedy | crime | drama | mystery,series,us
48,Last Of Us,action | adventure | horror | drama | sci-fi,series,us
49,Breslau,crime | drama | history,series,pl
50,The Greatest Showman,biography | drama | musical,movie,us
51,The Walking Dead,drama | horror | thriller | zombie,series,us
52,Stranger Things,drama | fantasy,series,us
53,Jak wytresować smoka?,action | adventure | comedy | drama | fantasy | family,movie,us
54,Nasze Magiczne Encanto,animation | comedy | family | fantasy | musical,movie,us
55,Vaiana,animation | adventure | comedy,movie,us
56,Strażnicy Galaktyki,action | adventure | comedy | sci-fi,movie,us
57,Diuna,action | adventure | drama,movie,us
58,W lesie dziś nie zaśnie nikt,horror | fantasy | mystery,movie,pl
59,Iron Man,superhero | action | adventure | sci-fi,movie,us
60,Iron Man 2,superhero | action | adventure | sci-fi,movie,us
61,Iron Man 3,superhero | action | adventure | sci-fi,movie,us
62,Wakanda w moim sercu,superhero | action | adventure | sci-fi | drama,movie,us
63,Coco,dark comedy | animation | family | adventure,movie,us
64,Lista Schindlera,biography | drama | history,movie,us
65,Pulp Fiction,dark comedy | crime | drama,movie,us
66,Kontakt,drama | mystery | sci-fi | thriller,movie,us
67,Lśnienie,drama | horror,movie,us
68,The Room,dark comedy | drama,movie,us
69,Dark,crime | drama | mistery | sci-fi,series,de
70,Gwiezdne Wojny: Przebudzenie Mocy,action | adventure | sci-fi,movie,us
71,Suma wszystkich strachów,action | drama | thriller,movie,us
72,Rec 3: Geneza,action | zombie,movie,us
73,Skazany na śmierć,action | crime | drama | mistery | thriller,series,us
74,Dexter,crime | drama | mystery | thriller,series,us
75,The Pitt,drama | medical,series,us
76,Wieloryb,drama | psychological,movie,us
77,Squid Game,action | drama | crime,series,as
78,Adolescence,crime | drama | thriller,series,uk
79,Czarne lustro,crime | drama | psychological,series,uk
80,Orange is the new balck,comedy | crime | drama,series,us
81,Pętla,action | crime | drama,movie,pl
82,Zielona mila,crime | drama | fantasy | mystery,movie,us
83,365 dni,drama | romance,movie,pl
84,Boże Ciało,drama,movie,pl
85,Saltrburn,dark comedy | drama | thriller | psychological,movie,uk
86,Twierdza,action | adventure | thriller,movie,us
87,twój vincent,animation | drama | mistery,movie,pl
88,Platforma 2,horror | sci-fi | thriller,movie,sp
89,Podziemny krąg,drama | crime | thriller | psychological,movie,us
90,blade runner 2049,action | drama | mystery | cyber,movie,us
91,Pingwin,crime | drama,series,us
92,Joker: Folie à deux,drama | musical | thriller | psychological,movie,us
93,Napoleon,action | adventure | biography,movie,uk
94,Kobiety Mafii,action | drama,series,pl
95,Bojack Horseman,adult animation | comedy | drama | psychological,series,us
96,The Sopranos,crime | drama | psychological,series,us
97,The Office,comedy,series,us
98,Dobre Miejsce,comedy | fantasy | mystery | romance,series,us
99,Dzień świra,dark comedy | drama | psychological,movie,pl
